model,sample_id,L,cer_vs_gt,cer_vs_original_whisper,gt_len,hyp_len
base,BAC009S0914W0197,1,3.909090909090909,3.909090909090909,11,43
base,BAC009S0914W0197,2,1.2727272727272727,1.2727272727272727,11,14
base,BAC009S0914W0197,3,0.2727272727272727,0.2727272727272727,11,10
lca,BAC009S0914W0197,1,1.0,1.0,11,0
lca,BAC009S0914W0197,2,1.0,1.0,11,0
lca,BAC009S0914W0197,3,0.5454545454545454,0.5454545454545454,11,11
base,BAC009S0915W0172,1,1.2666666666666666,1.2666666666666666,15,19
base,BAC009S0915W0172,2,0.5333333333333333,0.4,15,17
base,BAC009S0915W0172,3,0.13333333333333333,0.0,15,15
lca,BAC009S0915W0172,1,1.0,1.0,15,4
lca,BAC009S0915W0172,2,0.9333333333333333,0.9333333333333333,15,21
lca,BAC009S0915W0172,3,0.13333333333333333,0.0,15,15
base,BAC009S0916W0142,1,2.6923076923076925,2.6923076923076925,13,35
base,BAC009S0916W0142,2,0.0,0.0,13,13
base,BAC009S0916W0142,3,0.0,0.0,13,13
lca,BAC009S0916W0142,1,0.8461538461538461,0.8461538461538461,13,12
lca,BAC009S0916W0142,2,0.46153846153846156,0.46153846153846156,13,13
lca,BAC009S0916W0142,3,0.0,0.0,13,13
base,BAC009S0764W0392,1,1.3571428571428572,1.3571428571428572,14,20
base,BAC009S0764W0392,2,0.5714285714285714,0.5714285714285714,14,13
base,BAC009S0764W0392,3,0.7142857142857143,0.7142857142857143,14,14
lca,BAC009S0764W0392,1,1.7142857142857142,1.7142857142857142,14,24
lca,BAC009S0764W0392,2,0.6428571428571429,0.6428571428571429,14,14
lca,BAC009S0764W0392,3,0.2857142857142857,0.2857142857142857,14,14
base,BAC009S0765W0450,1,1.6153846153846154,1.6153846153846154,13,21
base,BAC009S0765W0450,2,0.5384615384615384,0.3076923076923077,13,13
base,BAC009S0765W0450,3,0.8461538461538461,0.5384615384615384,13,14
lca,BAC009S0765W0450,1,1.0,1.0,13,4
lca,BAC009S0765W0450,2,0.6923076923076923,0.38461538461538464,13,13
lca,BAC009S0765W0450,3,0.6923076923076923,0.15384615384615385,13,13
base,BAC009S0766W0454,1,1.6666666666666667,1.6666666666666667,9,15
base,BAC009S0766W0454,2,1.1111111111111112,1.1111111111111112,9,10
base,BAC009S0766W0454,3,0.0,0.0,9,9
lca,BAC009S0766W0454,1,1.3333333333333333,1.3333333333333333,9,12
lca,BAC009S0766W0454,2,2.0,2.0,9,18
lca,BAC009S0766W0454,3,0.7777777777777778,0.7777777777777778,9,9
base,BAC009S0767W0236,1,2.0,1.8,9,18
base,BAC009S0767W0236,2,1.2222222222222223,1.1,9,11
base,BAC009S0767W0236,3,0.4444444444444444,0.5,9,9
lca,BAC009S0767W0236,1,1.0,1.0,9,5
lca,BAC009S0767W0236,2,0.7777777777777778,0.8,9,9
lca,BAC009S0767W0236,3,0.4444444444444444,0.5,9,9
base,BAC009S0768W0355,1,1.0,1.0,10,9
base,BAC009S0768W0355,2,0.2,0.1,10,10
base,BAC009S0768W0355,3,0.1,0.0,10,10
lca,BAC009S0768W0355,1,7.2,7.3,10,74
