metric,sample_id,L,channel,v1,v2,v2_minus_v1
stoi,8098-278278-0035,2,dropout-mid,0.0033697528468914495,0.0007200788169618999,-0.0026496740299295496
stoi,8098-278278-0035,2,substitution-mid,-0.0002663223873292653,0.001340315020111893,0.0016066374074411582
stoi,8098-278278-0035,3,dropout-mid,-0.00037486532261676864,0.004996748234948667,0.005371613557565436
stoi,8098-278278-0035,3,substitution-mid,-0.0009663581569032687,0.00030538955343173413,0.0012717477103350028
stoi,8838-298545-0037,1,dropout-mid,0.0006805423215904272,0.005468516362862164,0.004787974041271736
stoi,8838-298545-0037,1,substitution-mid,0.0008796469461030965,-0.0009160624436437281,-0.0017957093897468246
stoi,8838-298545-0037,2,dropout-mid,-0.0066409123737452,-0.0010342740589676103,0.00560663831477759
stoi,8838-298545-0037,2,substitution-mid,-0.0007714572057598845,0.002842459760968419,0.0036139169667283033
stoi,8838-298545-0037,3,dropout-mid,0.0038012988636250133,0.004455985233173032,0.0006546863695480187
stoi,8838-298545-0037,3,substitution-mid,-0.0001978957025652317,0.00023708374670416976,0.00043497944926940146
wave_l1,1455-138263-0040,1,dropout-mid,0.0002979915589093954,6.0306861996598654e-05,-0.00023768469691279673
wave_l1,1455-138263-0040,1,substitution-mid,-3.884918987750313e-05,-1.6409903764703915e-05,2.2439286112799217e-05
wave_l1,1455-138263-0040,2,dropout-mid,-2.926029264929686e-05,1.558288931850088e-05,4.484318196779774e-05
wave_l1,1455-138263-0040,2,substitution-mid,-2.24355608225979e-05,4.786252975460051e-05,7.029809057719841e-05
wave_l1,1455-138263-0040,3,dropout-mid,3.295578062530169e-05,-8.84607434273009e-05,-0.00012141652405260259
wave_l1,1455-138263-0040,3,substitution-mid,-0.00010792911052709755,-8.790753781800012e-05,2.0021572709097435e-05
wave_l1,1737-148989-0006,1,dropout-mid,1.2671574950197384e-05,0.0002676509320736001,0.0002549793571234027
wave_l1,1737-148989-0006,1,substitution-mid,0.00020314380526539888,-4.6733766795002685e-06,-0.00020781718194489915
wave_l1,1737-148989-0006,2,dropout-mid,0.0001865141093732002,0.00022073276340969783,3.4218654036497625e-05
wave_l1,1737-148989-0006,2,substitution-mid,-9.71555709839908e-06,-2.8703361748989853e-06,6.845220923500095e-06
wave_l1,1737-148989-0006,3,dropout-mid,7.879361510280264e-05,0.0004084017127752998,0.00032960809767249716
wave_l1,1737-148989-0006,3,substitution-mid,-1.3241544365896751e-05,-3.8487836718500285e-05,-2.5246292352603533e-05
wave_l1,311-124404-0119,1,dropout-mid,-3.628246486180042e-05,8.323229849339919e-05,0.00011951476335519962
wave_l1,311-124404-0119,1,substitution-mid,-0.00011263415217399944,2.2415071725803704e-05,0.00013504922389980314
wave_l1,311-124404-0119,2,dropout-mid,-0.0001316210255026002,0.0002717999741434999,0.0004034209996461001
wave_l1,311-124404-0119,2,substitution-mid,-1.4951452612800564e-05,-2.426654100410111e-05,-9.315088391300547e-06
wave_l1,311-124404-0119,3,dropout-mid,7.780175656080072e-05,0.0001849951222537994,0.00010719336569299867
wave_l1,311-124404-0119,3,substitution-mid,7.325969636440104e-05,3.171991556879909e-05,-4.1539780795601944e-05
wave_l1,4018-103416-0033,1,dropout-mid,0.00045978277921680105,0.0008367374539375028,0.0003769546747207017
wave_l1,4018-103416-0033,1,substitution-mid,0.00016179308295250633,-3.626942634579744e-05,-0.00019806250929830377
wave_l1,4018-103416-0033,2,dropout-mid,-0.0003017205744981037,-5.549192428589908e-05,0.00024622865021220464
wave_l1,4018-103416-0033,2,substitution-mid,2.4426728487000893e-05,-0.0001465883105993028,-0.0001710150390863037
