version,metric,direction,sample_id,L,channel,base_degradation,lca_degradation,rob_imp
v1,pesq_wb,higher,1737-148989-0006,1,substitution-mid,0.00780642032623291,0.003111124038696289,0.004695296287536621
v1,pesq_wb,higher,1737-148989-0006,2,dropout-low,0.03654050827026367,0.01639997959136963,0.020140528678894043
v1,pesq_wb,higher,1737-148989-0006,2,dropout-mid,0.028284311294555664,0.0263674259185791,0.0019168853759765625
v1,pesq_wb,higher,1737-148989-0006,2,substitution-low,0.0,0.0,0.0
v1,pesq_wb,higher,1737-148989-0006,2,substitution-mid,0.004400372505187988,0.007626533508300781,-0.003226161003112793
v1,pesq_wb,higher,1737-148989-0006,3,dropout-low,0.044180989265441895,0.00426638126373291,0.039914608001708984
v1,pesq_wb,higher,1737-148989-0006,3,dropout-mid,0.1059870719909668,0.1202462911605835,-0.0142592191696167
v1,pesq_wb,higher,1737-148989-0006,3,substitution-low,-0.0003044605255126953,0.0016402006149291992,-0.0019446611404418945
v1,pesq_wb,higher,1737-148989-0006,3,substitution-mid,0.03428685665130615,0.02138364315032959,0.012903213500976562
v1,pesq_wb,higher,1455-138263-0040,1,dropout-low,0.011516332626342773,0.012784957885742188,-0.001268625259399414
v1,pesq_wb,higher,1455-138263-0040,1,dropout-mid,0.014885544776916504,0.01301717758178711,0.0018683671951293945
v1,pesq_wb,higher,1455-138263-0040,1,substitution-low,0.0,0.0,0.0
v1,pesq_wb,higher,1455-138263-0040,1,substitution-mid,0.005595564842224121,0.0025292634963989258,0.0030663013458251953
v1,pesq_wb,higher,1455-138263-0040,2,dropout-low,0.04036760330200195,0.039499282836914285,0.0008683204650876686
v1,pesq_wb,higher,1455-138263-0040,2,dropout-mid,0.09045684337615967,0.08034992218017578,0.010106921195983887
v1,pesq_wb,higher,1455-138263-0040,2,substitution-low,0.006655216217041016,0.0034961700439453125,0.003159046173095703
v1,pesq_wb,higher,1455-138263-0040,2,substitution-mid,0.010282397270202637,0.00861096382141091,0.001671433448791726
v1,pesq_wb,higher,1455-138263-0040,3,dropout-low,0.052048683166503906,0.06202197074890137,-0.009973287582397461
v1,pesq_wb,higher,1455-138263-0040,3,dropout-mid,0.09408533573150635,0.0786857604980471,0.01539957523345925
v1,pesq_wb,higher,1455-138263-0040,3,substitution-low,0.009668827056884766,0.039968252182006836,-0.03029942512512207
v1,pesq_wb,higher,1455-138263-0040,3,substitution-mid,0.020725488662719727,0.07326662540435791,-0.052541136741638184
v1,pesq_wb,higher,311-124404-0119,1,dropout-low,0.004045128822326216,-0.00012195110321044922,0.004167079925536665
v1,pesq_wb,higher,311-124404-0119,1,dropout-mid,-0.0025342702865602806,0.0014442205429077148,-0.0039784908294679955
v1,pesq_wb,higher,311-124404-0119,1,substitution-low,0.017164826393126997,0.006073474884033203,0.011091351509093794
v1,pesq_wb,higher,311-124404-0119,1,substitution-mid,-0.00020349025726340564,0.001907348632812722,-0.0021108388900761277
v1,pesq_wb,higher,311-124404-0119,2,dropout-low,0.001020669937133789,0.013431191444396973,-0.012410521507263184
v1,pesq_wb,higher,311-124404-0119,2,dropout-mid,0.024289846420288308,0.04831886291503906,-0.024029016494750755
v1,pesq_wb,higher,311-124404-0119,2,substitution-low,0.0,0.0,0.0
v1,pesq_wb,higher,311-124404-0119,2,substitution-mid,-0.008413553237915039,-0.004580497741699219,-0.0038330554962158203
v1,pesq_wb,higher,311-124404-0119,3,dropout-low,0.006389141082763672,0.0008107423782348633,0.005578398704528809
v1,pesq_wb,higher,311-124404-0119,3,dropout-mid,0.06634402275085449,0.08387541770935059,-0.017531394958496094
v1,pesq_wb,higher,311-124404-0119,3,substitution-low,0.0,0.0,0.0
v1,pesq_wb,higher,311-124404-0119,3,substitution-mid,0.014308691024780273,0.004095792770385742,0.010212898254394531
v1,pesq_wb,higher,4680-16026-0019,1,dropout-low,0.0,0.0,0.0
v1,pesq_wb,higher,4680-16026-0019,1,dropout-mid,0.18911528587341375,0.10977399349212669,0.07934129238128707
v1,pesq_wb,higher,4680-16026-0019,1,substitution-low,0.0,0.0,0.0
v1,pesq_wb,higher,4680-16026-0019,1,substitution-mid,0.02880239486694358,0.12785232067108177,-0.09904992580413818
v1,pesq_wb,higher,4680-16026-0019,2,dropout-low,0.264833927154541,0.4120388031005864,-0.14720487594604537
v1,pesq_wb,higher,4680-16026-0019,2,dropout-mid,0.26379776000976607,0.17587733268737837,0.0879204273223877
v1,pesq_wb,higher,4680-16026-0019,2,substitution-low,0.0,0.0,0.0
