model,sample_id,L,channel,p_drop,p_sub,ideal_bitrate_bps,duration_sec,wave_l1,rmse,mel_l1,si_snr_db,corr,stoi,pesq_wb,rms_ratio_db,recon_peak,clip_ratio,length_samples,actual_p_drop,actual_p_sub,channel_seed,original_path,recon_path
base,5390-30102-0015,1,dropout-low,0.01,0.0,500,15.26,0.0312734916806221,0.0487203486263752,1.342781901359558,-4.063950445535803,0.5308085680007935,0.7729766727158716,1.2025593519210815,-3.5862564972785367,0.3277628719806671,0.0,244160,0.007863695937090432,0.0,62216,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\dropout-low\L1\5390-30102-0015.wav
lca,5390-30102-0015,1,dropout-low,0.01,0.0,500,15.26,0.031709566712379456,0.04945647716522217,1.2341389656066895,-4.218684026348603,0.5240266919136047,0.785484584632014,1.2072259187698364,-3.04971098218799,0.32009387016296387,0.0,244160,0.007863695937090432,0.0,62216,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\dropout-low\L1\5390-30102-0015.wav
base,5390-30102-0015,1,dropout-mid,0.03,0.0,500,15.26,0.03181278333067894,0.04982792213559151,1.3502393960952759,-4.633479762808672,0.5059579014778137,0.7653960858175753,1.1902234554290771,-3.547699124557453,0.329382061958313,0.0,244160,0.04325032765399738,0.0,61947,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\dropout-mid\L1\5390-30102-0015.wav
lca,5390-30102-0015,1,dropout-mid,0.03,0.0,500,15.26,0.03233417868614197,0.05072532966732979,1.252989411354065,-4.924956952479246,0.49337732791900635,0.7746957748181447,1.181377649307251,-3.163226570164764,0.32012268900871277,0.0,244160,0.04325032765399738,0.0,61947,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\dropout-mid\L1\5390-30102-0015.wav
base,5390-30102-0015,1,substitution-low,0.0,0.001,500,15.26,0.03107319213449955,0.048364587128162384,1.3374767303466797,-3.889480392872635,0.5384778380393982,0.7735948455489207,1.2066913843154907,-3.6158863745198837,0.3279818296432495,0.0,244160,0.0,0.001310615989515072,61645,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\substitution-low\L1\5390-30102-0015.wav
lca,5390-30102-0015,1,substitution-low,0.0,0.001,500,15.26,0.0315077118575573,0.04905351996421814,1.2322052717208862,-4.055030093737742,0.531200110912323,0.7858201368024024,1.2113003730773926,-3.130164134841782,0.32213094830513,0.0,244160,0.0,0.001310615989515072,61645,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\substitution-low\L1\5390-30102-0015.wav
base,5390-30102-0015,1,substitution-mid,0.0,0.005,500,15.26,0.03125825151801109,0.04862334951758385,1.3434104919433594,-4.027523111542746,0.5324079990386963,0.7692998482445952,1.1906627416610718,-3.62789277183926,0.3283023238182068,0.0,244160,0.0,0.007863695937090432,61776,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\substitution-mid\L1\5390-30102-0015.wav
lca,5390-30102-0015,1,substitution-mid,0.0,0.005,500,15.26,0.031771112233400345,0.04947032034397125,1.2443292140960693,-4.281097316654803,0.521297037601471,0.7811570206985776,1.2003002166748047,-3.169120961688641,0.3235616087913513,0.0,244160,0.0,0.007863695937090432,61776,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\substitution-mid\L1\5390-30102-0015.wav
base,5390-30102-0015,2,clean,0.0,0.0,1000,15.26,0.025145763531327248,0.039008308202028275,1.0375239849090576,0.8339688533228512,0.7401756644248962,0.8267250979392888,1.426063060760498,-1.1201288961071705,0.4454289972782135,0.0,244160,0.0,0.0,63426,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\clean\L2\5390-30102-0015.wav
lca,5390-30102-0015,2,clean,0.0,0.0,1000,15.26,0.025213118642568588,0.039664480835199356,0.9935786724090576,0.4894073820296907,0.7267342805862427,0.8509703267706327,1.4511176347732544,-1.3977317961435842,0.35234183073043823,0.0,244160,0.0,0.0,63426,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\clean\L2\5390-30102-0015.wav
base,5390-30102-0015,2,dropout-low,0.01,0.0,1000,15.26,0.025691960006952286,0.0405597947537899,1.0409296751022339,0.29680029409567477,0.719081699848175,0.8251953244378881,1.420011043548584,-1.0846772368748496,0.4446527361869812,0.0,244160,0.007208387942332897,0.0,63216,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\dropout-low\L2\5390-30102-0015.wav
lca,5390-30102-0015,2,dropout-low,0.01,0.0,1000,15.26,0.02550063282251358,0.04032345116138458,0.9969195127487183,0.23701490791792315,0.7166869640350342,0.8476061097980004,1.4444477558135986,-1.4275743938956302,0.3519478738307953,0.0,244160,0.007208387942332897,0.0,63216,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\dropout-low\L2\5390-30102-0015.wav
base,5390-30102-0015,2,dropout-mid,0.03,0.0,1000,15.26,0.026363704353570938,0.04146350547671318,1.0564864873886108,-0.09908259061895883,0.7030623555183411,0.815063587158606,1.359184741973877,-1.2382197214751935,0.44590529799461365,0.0,244160,0.02817824377457405,0.0,62947,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\dropout-mid\L2\5390-30102-0015.wav
lca,5390-30102-0015,2,dropout-mid,0.03,0.0,1000,15.26,0.026247290894389153,0.04184804856777191,1.0127012729644775,-0.37453872319294285,0.6917030811309814,0.8401821517671395,1.3798235654830933,-1.5500365896226118,0.35236212611198425,0.0,244160,0.02817824377457405,0.0,62947,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\dropout-mid\L2\5390-30102-0015.wav
base,5390-30102-0015,2,substitution-low,0.0,0.001,1000,15.26,0.02520717866718769,0.03909711167216301,1.0392026901245117,0.7990682702745472,0.7388293147087097,0.8249447886123643,1.4225865602493286,-1.127842697772396,0.4454289972782135,0.0,244160,0.0,0.001310615989515072,62645,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\substitution-low\L2\5390-30102-0015.wav
lca,5390-30102-0015,2,substitution-low,0.0,0.001,1000,15.26,0.02528224140405655,0.03976495936512947,0.9955491423606873,0.44983961003540635,0.7251701951026917,0.8494979811614487,1.448258399963379,-1.405463216250991,0.35234183073043823,0.0,244160,0.0,0.001310615989515072,62645,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\substitution-low\L2\5390-30102-0015.wav
