model,sample_id,L,channel,p_drop,p_sub,ideal_bitrate_bps,duration_sec,wave_l1,rmse,mel_l1,si_snr_db,corr,stoi,pesq_wb,rms_ratio_db,recon_peak,clip_ratio,length_samples,actual_p_drop,actual_p_sub,channel_seed,original_path,recon_path
lca,5390-30102-0015,1,clean,0.0,0.0,500,15.26,0.03196457028388977,0.04993234947323799,1.2377490997314453,-4.652081799291627,0.5051519274711609,0.7916730014434401,1.199864149093628,-3.46195330513612,0.33129823207855225,0.0,244160,0.0,0.0,49153,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\clean\L1\5390-30102-0015.wav
base,5390-30102-0015,1,dropout-low,0.01,0.0,500,15.26,0.031213613227009773,0.04877839982509613,1.3420825004577637,-4.098120589221416,0.5293092131614685,0.7708324631096197,1.1968326568603516,-3.5977496964413582,0.3279757797718048,0.0,244160,0.011795543905635648,0.0,48762,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\dropout-low\L1\5390-30102-0015.wav
lca,5390-30102-0015,1,dropout-low,0.01,0.0,500,15.26,0.032149434089660645,0.05039442330598831,1.2384605407714844,-4.911162263311615,0.4939703047275543,0.7909664056155157,1.192927598953247,-3.485816120700295,0.3318001925945282,0.0,244160,0.011795543905635648,0.0,48762,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\dropout-low\L1\5390-30102-0015.wav
base,5390-30102-0015,1,dropout-mid,0.03,0.0,500,15.26,0.03162281960248947,0.04943540692329407,1.3572125434875488,-4.387093118422667,0.5166695713996887,0.7601633989701233,1.1831921339035034,-3.4547166027554557,0.38369476795196533,0.0,244160,0.035386631716906945,0.0,49362,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\dropout-mid\L1\5390-30102-0015.wav
lca,5390-30102-0015,1,dropout-mid,0.03,0.0,500,15.26,0.03252304717898369,0.05114721134305,1.2569750547409058,-5.294605349980937,0.47758758068084717,0.7801951478611701,1.1781398057937622,-3.427579088993488,0.3328741192817688,0.0,244160,0.035386631716906945,0.0,49362,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\dropout-mid\L1\5390-30102-0015.wav
base,5390-30102-0015,1,substitution-low,0.0,0.001,500,15.26,0.031075727194547653,0.048363931477069855,1.3377364873886108,-3.887432658788452,0.5385679602622986,0.7739749357807156,1.2073934078216553,-3.610491365284669,0.32830125093460083,0.0,244160,0.0,0.001310615989515072,49565,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\substitution-low\L1\5390-30102-0015.wav
lca,5390-30102-0015,1,substitution-low,0.0,0.001,500,15.26,0.031966257840394974,0.049935128539800644,1.236396074295044,-4.6540293563888016,0.5050674676895142,0.791679890256445,1.2001183032989502,-3.463029190617488,0.33134689927101135,0.0,244160,0.0,0.001310615989515072,49565,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\substitution-low\L1\5390-30102-0015.wav
base,5390-30102-0015,1,substitution-mid,0.0,0.005,500,15.26,0.03110841102898121,0.048447322100400925,1.3462711572647095,-3.9393022192127205,0.5362855792045593,0.7719212523839714,1.1983749866485596,-3.6379701037892325,0.32746410369873047,0.0,244160,0.0,0.003931847968545216,48672,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\substitution-mid\L1\5390-30102-0015.wav
lca,5390-30102-0015,1,substitution-mid,0.0,0.005,500,15.26,0.03205004334449768,0.05017553269863129,1.245027780532837,-4.7898208016586565,0.49919673800468445,0.7884184368677045,1.1921894550323486,-3.4790627686713584,0.3311772644519806,0.0,244160,0.0,0.003931847968545216,48672,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\lca\substitution-mid\L1\5390-30102-0015.wav
base,5390-30102-0015,2,clean,0.0,0.0,1000,15.26,0.025145763531327248,0.039008308202028275,1.0375239849090576,0.8339688533228512,0.7401756644248962,0.8267250979392888,1.426063060760498,-1.1201288961071705,0.4454289972782135,0.0,244160,0.0,0.0,50153,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_20260530_seed42\samples\base\clean\L2\5390-30102-0015.wav
