model,sample_id,L,channel,p_drop,p_sub,ideal_bitrate_bps,duration_sec,wave_l1,rmse,mel_l1,si_snr_db,corr,stoi,pesq_wb,rms_ratio_db,recon_peak,clip_ratio,length_samples,actual_p_drop,actual_p_sub,channel_seed,original_path,recon_path
lca,5390-30102-0015,1,clean,0.0,0.0,500,15.26,0.03242325410246849,0.05066371336579323,1.224452018737793,-4.887382746932097,0.49499306082725525,0.797245711147661,1.2379013299942017,-3.153076570263786,0.34123697876930237,0.0,244160,0.0,0.0,17222,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\lca\clean\L1\5390-30102-0015.wav
base,5390-30102-0015,1,dropout-mid,0.05,0.0,500,15.26,0.03144359216094017,0.049032121896743774,1.3559465408325195,-4.270161760225414,0.5217750072479248,0.7647412346264483,1.1861686706542969,-3.7090423480507084,0.3283483684062958,0.0,244160,0.035386631716906945,0.0,17999,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\base\dropout-mid\L1\5390-30102-0015.wav
lca,5390-30102-0015,1,dropout-mid,0.05,0.0,500,15.26,0.032825712114572525,0.05163952708244324,1.2419590950012207,-5.461724624323006,0.470516562461853,0.7895282171707078,1.2095685005187988,-3.2415437548711967,0.34266796708106995,0.0,244160,0.035386631716906945,0.0,17999,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\lca\dropout-mid\L1\5390-30102-0015.wav
base,5390-30102-0015,1,dropout-high,0.1,0.0,500,15.26,0.032663192600011826,0.05135848745703697,1.3886699676513672,-5.538270728324194,0.467292845249176,0.7452256341831326,1.1553337574005127,-3.6642315733955,0.32917994260787964,0.0,244160,0.0982961992136304,0.0,17757,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\base\dropout-high\L1\5390-30102-0015.wav
lca,5390-30102-0015,1,dropout-high,0.1,0.0,500,15.26,0.03360925242304802,0.052964888513088226,1.2628732919692993,-6.2259618467602085,0.4387953579425812,0.7729726915449768,1.1725444793701172,-3.2600583652843804,0.34403154253959656,0.0,244160,0.0982961992136304,0.0,17757,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\lca\dropout-high\L1\5390-30102-0015.wav
base,5390-30102-0015,1,substitution-mid,0.0,0.01,500,15.26,0.03114664927124977,0.048455290496349335,1.343511700630188,-3.9427551118494035,0.5361337065696716,0.7697721663845677,1.2002217769622803,-3.6358404814102223,0.3288707435131073,0.0,244160,0.0,0.00655307994757536,17259,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\base\substitution-mid\L1\5390-30102-0015.wav
lca,5390-30102-0015,1,substitution-mid,0.0,0.01,500,15.26,0.032455939799547195,0.05065789818763733,1.2314187288284302,-4.878695330368466,0.4953669309616089,0.7928419937925836,1.2291083335876465,-3.14257530338111,0.3428537845611572,0.0,244160,0.0,0.00655307994757536,17259,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\lca\substitution-mid\L1\5390-30102-0015.wav
base,5390-30102-0015,1,substitution-high,0.0,0.03,500,15.26,0.03170785680413246,0.0496392659842968,1.3757330179214478,-4.6118765732336495,0.5068944096565247,0.753488181311433,1.1697229146957397,-3.7487548240207573,0.3274996280670166,0.0,244160,0.0,0.04062909567496723,17531,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\base\substitution-high\L1\5390-30102-0015.wav
lca,5390-30102-0015,1,substitution-high,0.0,0.03,500,15.26,0.032912809401750565,0.05153154581785202,1.2759407758712769,-5.499567411438003,0.46892160177230835,0.7748100207909535,1.188209056854248,-3.41043063030341,0.3368213176727295,0.0,244160,0.0,0.04062909567496723,17531,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\lca\substitution-high\L1\5390-30102-0015.wav
base,5390-30102-0015,2,clean,0.0,0.0,1000,15.26,0.025145763531327248,0.039008308202028275,1.0375239849090576,0.8339688533228512,0.7401756644248962,0.8267250979392888,1.426063060760498,-1.1201288961071705,0.4454289972782135,0.0,244160,0.0,0.0,18222,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\original\5390-30102-0015.wav,output\experiments\exp3_low_load_channel_aware_adaptation_v2_strong_perturb_20260531_seed42\samples\base\clean\L2\5390-30102-0015.wav
